age_days,curing_stage,is_standard_28d_benchmark,spec_target_ratio
3,Early Strength (1-3 Days),FALSE,0.40
7,Stripping Strength (7 Days),FALSE,0.65
28,Standard Compliance Benchmark (28 Days),TRUE,1.00
56,Mature Long-Term (56-365 Days),FALSE,1.15
90,Mature Long-Term (56-365 Days),FALSE,1.15
91,Mature Long-Term (56-365 Days),FALSE,1.15
180,Mature Long-Term (56-365 Days),FALSE,1.15
270,Mature Long-Term (56-365 Days),FALSE,1.15
360,Mature Long-Term (56-365 Days),FALSE,1.15
365,Mature Long-Term (56-365 Days),FALSE,1.15
